[22:07:37.981] === pyvideotrans Studio 启动 ===
[22:07:37.981] 系统: linux
[22:07:37.981] Python: 3.11.15
[22:07:37.981] 操作: 启动程序
[22:07:50.105] 操作: 导入素材
[22:08:22.742] 操作: 播放/暂停
[22:08:23.407] 操作: 播放/暂停
[22:08:24.398] 操作: 播放/暂停
[22:08:25.000] 操作: 播放/暂停
[22:08:25.657] 操作: 播放/暂停
[22:08:29.508] 操作: 播放/暂停
[22:08:33.753] 操作: 分割素材
[22:08:33.754] 操作: 分割素材
[22:09:01.164] 操作: 播放/暂停
[22:09:08.324] 操作: 播放/暂停
[22:09:15.279] 操作: 播放/暂停
[22:09:19.408] 操作: 播放/暂停
[22:09:28.279] 操作: 播放/暂停
[22:09:30.103] 操作: 播放/暂停
[22:09:35.329] 操作: 分割素材
[22:09:35.330] 操作: 分割素材
[22:09:54.222] 操作: 播放/暂停
[22:10:00.596] 操作: 播放/暂停
[22:10:22.650] 操作: 播放/暂停
[22:10:26.765] 操作: 播放/暂停
[22:10:34.662] 操作: 播放/暂停
[22:10:35.501] 操作: 播放/暂停
[22:10:36.366] 操作: 播放/暂停
[22:10:37.851] 操作: 播放/暂停
[22:10:41.897] 操作: 分割素材
[22:10:41.898] 操作: 分割素材
[22:18:02.952] === 程序退出 ===

